"Name","OverallScore","SyntaxValid","SyntaxErrors","DocScore","MissingSections","SecurityScore","SecurityIssues","ErrorHandlingScore","CodeQualityScore","Path"
"2025 Compliance.ps1","57","False","1","67",".EXAMPLE","100","","70","100","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Compliance-Detection\2025 Compliance.ps1"
"Add LAPSuser.ps1","59","False","1","100","","70","Security risk: Contains pattern 'ConvertTo-SecureString.*-AsPlainText'","80","94","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Add LAPSuser.ps1"
"Add-LAPSuser.ps1","59","False","1","100","","70","Security risk: Contains pattern 'ConvertTo-SecureString.*-AsPlainText'","80","94","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\Device-Management\Add-LAPSuser.ps1"
"Addgroupassignment.ps1","51","False","1","67",".EXAMPLE","100","","50","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Device-Management\Addgroupassignment.ps1"
"APNS Get.ps1","65","False","1","100","","100","","80","86","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Certificate-Management\APNS Get.ps1"
"Appconfigurationpolicy Export.ps1","64","False","1","100","","100","","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Appconfigurationpolicy Export.ps1"
"Appconfigurationpolicy Importfromjson.ps1","62","False","1","100","","100","","80","62","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Policy-Configuration\Appconfigurationpolicy Importfromjson.ps1"
"Appledep Sync.ps1","64","False","1","100","","100","","80","82","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Appledep Sync.ps1"
"Appledepprofile Assign.ps1","64","False","1","100","","100","","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Appledepprofile Assign.ps1"
"Applevpp Sync.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Applevpp Sync.ps1"
"Application Android Add No Icon.ps1","65","False","1","100","","100","","80","88","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Android Add No Icon.ps1"
"Application Android Add With Icon.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Android Add With Icon.ps1"
"Application Category Add.ps1","65","False","1","100","","100","","80","86","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Category Add.ps1"
"Application Category Get.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Category Get.ps1"
"Application Category Remove.ps1","64","False","1","100","","100","","80","76","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Category Remove.ps1"
"Application Get Assign.ps1","62","False","1","100","","100","","80","60","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Get Assign.ps1"
"Application Installstats.ps1","64","False","1","100","","100","","80","78","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Installstats.ps1"
"Application iOS Add Assign.ps1","61","False","1","100","","100","","80","50","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application iOS Add Assign.ps1"
"Application iOS Add.ps1","64","False","1","100","","100","","80","80","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application iOS Add.ps1"
"Application LOB Add.ps1","63","False","1","100","","100","","100","30","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application LOB Add.ps1"
"Application Macosoffice365 Add Assign.ps1","63","False","1","100","","100","","80","66","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Macosoffice365 Add Assign.ps1"
"Application Macosoffice365 Add.ps1","64","False","1","100","","100","","80","84","C:\Users\wesle\Dropbox\GITHUB\06 - COMPLETED TOOLS\TECH-Azure-Intune-Management-PowerShell-Device-Policy-Enterprise\Intune\PowerShell-Scripts\Application-Management\Application Macosoffice365 Add.ps1"
